確定病名,發病日,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
嚴重特殊傳染性肺炎,2020/01/11,空值,空值,F,是,55-59,1
嚴重特殊傳染性肺炎,2020/01/20,空值,空值,M,是,55-59,1
嚴重特殊傳染性肺炎,2020/01/21,空值,空值,M,是,40-44,1
嚴重特殊傳染性肺炎,2020/01/22,空值,空值,F,是,55-59,1
嚴重特殊傳染性肺炎,2020/01/22,新北市,林口區,F,否,65-69,1
嚴重特殊傳染性肺炎,2020/01/23,空值,空值,F,是,50-54,1
嚴重特殊傳染性肺炎,2020/01/25,空值,空值,F,是,50-54,1
嚴重特殊傳染性肺炎,2020/01/25,空值,空值,F,是,70+,2
嚴重特殊傳染性肺炎,2020/01/25,空值,空值,M,是,50-54,1
嚴重特殊傳染性肺炎,2020/01/26,彰化縣,和美鎮,M,否,50-54,1
嚴重特殊傳染性肺炎,2020/01/27,空值,空值,M,是,20-24,1
嚴重特殊傳染性肺炎,2020/01/27,南投縣,南投市,F,否,40-44,1
嚴重特殊傳染性肺炎,2020/01/27,彰化縣,彰化市,M,否,60-64,1
嚴重特殊傳染性肺炎,2020/01/28,台中市,太平區,M,否,30-34,1
嚴重特殊傳染性肺炎,2020/01/28,空值,空值,F,是,50-54,1
嚴重特殊傳染性肺炎,2020/01/28,新北市,新莊區,F,否,20-24,1
嚴重特殊傳染性肺炎,2020/01/29,新北市,新店區,M,否,45-49,1
嚴重特殊傳染性肺炎,2020/01/31,新北市,新店區,M,否,50-54,1
嚴重特殊傳染性肺炎,2020/02/01,空值,空值,F,是,25-29,1
嚴重特殊傳染性肺炎,2020/02/01,空值,空值,F,是,45-49,1
嚴重特殊傳染性肺炎,2020/02/03,台中市,太平區,F,否,55-59,1
嚴重特殊傳染性肺炎,2020/02/03,空值,空值,M,是,45-49,1
嚴重特殊傳染性肺炎,2020/02/04,空值,空值,M,是,50-54,1
嚴重特殊傳染性肺炎,2020/02/05,新北市,新店區,M,否,70+,1
嚴重特殊傳染性肺炎,2020/02/06,新北市,新店區,F,否,70+,1
